latitude,longitude,dbscan_cluster,hdbscan_cluster
51.464474,0.040545,0,-1
51.361488,1.024473,0,59
51.57334,-0.222569,0,-1
51.433552,-2.619656,0,48
51.436078,0.39181,0,124
52.691266,-2.493019,0,37
50.834895,-0.772473,0,76
53.825026,-1.525089,0,121
51.493937,-0.116521,0,-1
55.032642,-6.465387,1,0
53.405094,-1.366708,0,-1
52.463978,-1.990551,0,83
52.640513,-1.128966,0,90
53.345293,-1.493107,0,117
50.532988,-3.629973,0,18
51.571236,-0.037742,0,-1
51.704758,-3.414448,0,-1
51.538609,-0.073161,0,-1
53.066355,-2.207497,0,64
51.58925,-2.978714,0,26
53.160966,-2.216778,0,64
52.605485,1.280354,0,10
51.425143,-0.042984,0,-1
51.470594,-0.146582,0,-1
53.689524,-2.69779,0,65
54.535149,-2.381714,0,-1
51.507339,-0.617357,0,122
51.580919,0.208977,0,-1
52.487623,-1.897577,0,83
52.230567,-0.265025,0,-1
52.504611,-1.949513,0,83
51.509831,0.119297,0,-1
51.675699,-0.273829,0,-1
52.688854,-2.032357,0,83
53.243809,-0.512688,0,33
50.37454,-4.146407,0,8
51.271375,-0.252109,0,-1
52.985182,-1.291951,0,99
52.921623,-1.474997,0,94
51.5727,0.03647,0,-1
51.47998,-0.373065,0,126
50.920506,-1.432311,0,63
51.670443,-4.702772,0,5
53.048982,-2.996924,0,68
54.520115,-6.085406,1,0
51.542251,-0.005047,0,135
54.713897,-3.496979,0,4
51.358963,1.441249,0,50
51.562772,-1.784788,0,22
52.543351,-1.936095,0,83
50.713465,-2.001633,0,57
51.522026,-0.092405,0,138
53.491911,-1.314174,0,-1
52.109202,-0.480039,0,61
51.430716,-2.862056,0,-1
51.749156,-0.471416,0,109
50.213654,-5.301544,0,6
52.402762,-1.573937,0,86
51.179997,-2.536377,0,-1
53.74682,-0.432729,0,32
53.74917,-0.298574,0,32
54.863965,-1.705889,0,-1
53.647438,-1.78347,0,115
51.502875,-0.383474,0,126
53.811251,-1.581496,0,121
54.675325,-1.22148,0,14
53.767499,-2.702072,0,65
52.945489,-1.462714,0,94
51.534789,-0.139015,0,-1
50.985224,-3.492292,0,-1
52.599328,-0.214571,0,40
51.512702,-0.151459,0,139
50.456453,-3.573017,0,18
51.4305,-0.391655,0,-1
50.935466,-1.312771,0,63
50.531394,-3.599016,0,18
50.871648,0.596562,0,54
51.8951,-0.449255,0,92
51.128811,1.309733,0,51
53.80817,-1.763343,0,120
54.577081,-2.491604,0,-1
52.015267,-0.727205,0,60
51.084098,1.174521,0,51
50.972096,-1.387901,0,63
54.557948,-1.309274,0,13
50.804447,-1.086311,0,72
51.121016,-0.191287,0,110
51.512166,-0.123818,0,139
51.52484,-0.900682,0,-1
51.589807,-1.764842,0,22
53.408708,-1.474227,0,117
51.630935,-0.003217,0,-1
51.802729,1.129415,0,58
53.564886,-2.869898,0,-1
53.763561,-2.011158,0,-1
50.410264,-4.133193,0,8
51.509888,-1.528075,0,-1
52.486111,-1.918859,0,83
51.137544,0.000351,0,-1
51.33923,-0.744264,0,88
51.566416,0.545689,0,102
52.18698,-2.196163,0,74
51.388325,-1.07446,0,-1
