cluster,crime_count,centroid_latitude,centroid_longitude,lsoa_name,lsoa_code
83,2994,52.503938863059446,-1.949632468269873,Birmingham 138A,E01033620
41,870,51.467638880459766,-2.568364450574713,Bristol 061A,E01033907
116,831,53.799123226233455,-1.5482125559566788,Leeds 111B,E01033010
101,772,53.40050502331606,-1.4202090699481864,Sheffield 073D,E01033264
79,743,52.648177366083445,-1.151671394347241,Leicester 041E,E01034022
92,707,52.9726808019802,-1.2110038062234796,Nottingham 039G,E01035506
133,706,51.5132249490085,-0.13450910056657223,Westminster 013G,E01035716
44,667,51.51927552623688,-3.218498362818591,Cardiff 032H,W01002019
77,637,52.43199251020408,-1.4937128163265305,Coventry 031E,E01034743
90,608,53.425437351973684,-2.959009529605263,Liverpool 060C,E01033760
21,545,54.97232228623854,-1.600639271559633,Newcastle upon Tyne 036D,E01033545
115,535,53.797992822429904,-1.7576389514018693,Bradford 065C,E01033690
55,512,53.049744701171875,-2.17720266015625,Stoke-on-Trent 015D,E01014287
18,466,53.76250621030042,-0.3472624163090129,Kingston upon Hull 029E,E01033104
71,449,50.91915500222717,-1.3934974409799554,Southampton 023F,E01035445
72,423,50.82273556973995,-1.086368839243499,Portsmouth 027C,E01017032
31,364,51.646759406593404,-3.9471819065934066,Swansea 025F,W01001955
12,358,50.744254494413404,-1.8700571815642457,"Bournemouth, Christchurch and Poole 038H",E01034274
4,345,50.273611956521734,-5.118002486956522,Cornwall 021C,E01018911
121,337,51.49001154896143,-0.3864772284866469,Hounslow 018F,E01033083
35,337,51.74371366765579,-1.2777642433234422,Oxford 008A,E01028521
5,332,50.394737924698795,-4.139712081325301,Plymouth 027C,E01015152
87,329,52.91341647112461,-1.4695151398176292,Derby 013G,E01034256
60,313,53.825896121405755,-3.033704984025559,Blackpool 006A,E01012681
80,313,50.831401872204474,-0.1482163354632588,Brighton and Hove 027A,E01016952
88,302,51.893419870860924,-0.4701303178807947,Luton 023C,E01033805
58,298,53.734449137583894,-2.6862553926174497,Preston 017F,E01033223
34,281,52.60215418149466,-0.2356303487544484,Peterborough 014A,E01015599
73,272,52.037052849264704,-0.7499161654411765,Milton Keynes 014E,E01033499
7,270,52.625968274074076,1.2673320037037037,Norwich 017B,E01035139
61,266,52.24488506390978,-0.8869005789473684,West Northamptonshire 032E,E01032979
76,264,53.41915153030303,-2.720879965909091,St. Helens 024E,E01006912
94,258,51.44647990310077,-0.971109003875969,Reading 019B,E01033415
13,251,54.56361198406375,-1.2100789442231075,Middlesbrough 001H,E01035189
95,250,51.323541572,-0.756309896,Surrey Heath 005E,E01030800
